09567047-2299-9005-1b3d-1a7424166406,Certidão De Matrícula De Imóvel,Certidão Atualizada De Matrícula De Imóvel,Todos estados,Verificar a opção das três certidões de forma unificada: Certidão De Matrícula De Imóvel Com Ônus Reais E Ações Reipersecutórias		,"PESSOA_FISICA, IMOVEL","Nº da Matricula do Imóvel, Estado, Cartório, Cidade",,"Cidade, Estado"
09567047-2299-9005-1b3d-1a7424166406,"Matrícula defasagem de 30 dias da emissão, conforme exigido pelo
7469cb57-932e-4916-b030-525ed03344a2,Se houver Partilha de bens (divórcio ou inventário): Formal de partilha,"Certidões De Inventários, Arrolamentos E Testamentos - Extrajudicial",Todos estados,,PESSOA_FISICA,"Nome Completo, CPF, Cidade, Cartório",,
7ae078f6-7d7e-5c9e-4e9c-b59885330fe3,"Certidão de FGTS/CRF (apenas para empresários individuais,",Certificado De Regularidade Do Fgts - Crf,Todos estados,,"PESSOA_FISICA, PESSOA_JURIDICA","CPF, CEI, Nome Completo","Cnpj, Razão Social",
7ae078f6-7d7e-5c9e-4e9c-b59885330fe3,Certificado De Regularidade - FGTS/CRF,Certificado De Regularidade Do Fgts - Crf,Todos estados,,"PESSOA_FISICA, PESSOA_JURIDICA","CPF, CEI, Nome Completo","Cnpj, Razão Social",
83f7c6dc-d73b-4479-a2d3-3d9b1b583ac5,"Certidão de ônus reais, pessoais e reipersecutória",Certidão De Ônus Reais Do Bem Imóvel E Ações Reais E Pessoais Ou Reipersecutórias,Todos estados,,IMOVEL,,,"Nº da Matricula do Imóvel, Nº da Matricula do Imóvel, Cartório, Cartório"
8436d1c5-7947-f53d-a4b1-38845a1b7728,Certidão de Registro Civil Casamento/Nascimento,2° Via De Certidão De Casamento,Todos estados,"Importante mencionar as opções:
ae7ec686-6678-d3a4-3612-a40bdb226512,Certidão da Fazenda Pública Estadual;,Certidão Negativa De Débitos Tributários Inscritos Em Dívida Ativa - Procuradoria Geral Do Estado (pge),"AC, GO, MA, PI, RJ e SP","Somente nos Estados: AC, GO, MA, PI, RJ e SP","PESSOA_FISICA, PESSOA_JURIDICA","Nome Completo, Cidade, CPF, Estado","Cidade, Cnpj, Estado, Razão Social",
art. 188 da lei 6.015",Certidão Atualizada De Matrícula De Imóvel,Todos estados,Verificar a opção das três certidões de forma unificada: Certidão De Matrícula De Imóvel Com Ônus Reais E Ações Reipersecutórias		,"PESSOA_FISICA, IMOVEL","Nº da Matricula do Imóvel, Estado, Cartório, Cidade",,"Cidade, Estado"
c008556d-7391-d0e1-74ad-a7fc964b63db,"Certidão dos Distribuidores Cíveis, Execuções Fiscais;",Certidão De Executivos Fiscais - Justiça Estadual (1° Instância),Todos estados,,"PESSOA_FISICA, PESSOA_JURIDICA, IMOVEL","Nome Completo, CPF","Cnpj, Razão Social",Nº Inscrição Municipal
c6ba934c-b824-8b83-839a-eb1a341d97d3,"Certidão dos Distribuidores Cíveis, Execuções Fiscais;","Certidões De Inventários, Arrolamentos E Testamentos - Judicial",Todos estados,,"PESSOA_FISICA, PESSOA_JURIDICA","Nome Completo, Estado, CPF, Cidade","Cidade, Cnpj, Estado, Razão Social",
ca002f87-098e-ea62-18ff-76d81c7480af,Certidão Negativa de Débitos de Tributos Imobiliários,Certidão Negativa De Débitos De Tributos Imobiliários,Todos estados,,IMOVEL,,,Nº de Inscrição Imobiliária
